Participant nr,NR,Created,Modified,I have read and understood the information about the study and all the information in this form is explained to me and I am willing to participate,I want to participate.,I sometimes find it difficult to see things from the ‘other guy’s’ point of view.,"I am usually objective when I watch a film or play, and I don’t often get completely caught up in it.",I try to look at everybody’s side of a disagreement before I make a decision.,I sometimes try to understand my friends better by imagining how things look from their perspective.,"When I am upset at someone, I usually try to ‘put myself in his shoes for a while.","Before criticising somebody, I try to imagine how I would feel if I was in their place.",I often get emotionally involved with my friends’ problems.,I am inclined to get nervous when others around me seem to be nervous.,People I am with have a strong influence on my mood.,It affects me very much when one of my friends seems upset.,"I often get deeply involved with the feelings of a character in a film, play or novel.",I get very upset when I see someone cry.,I am happy when I am with a cheerful group and sad when the others are glum.,It worries me when others are worrying and panicky.,I can easily tell if someone else wants to enter a conversation.,I can pick up quickly if someone says one thing but means another.,It is hard for me to see why some things upset people so much.,I find it easy to put myself in somebody elses shoes.,I am good at predicting how someone will feel.,I am quick to spot when someone in a group is feeling awkward or uncomfortable.,Other people tell me I am good at understanding how they are feeling and what they are thinking.,I can easily tell if someone else is interested or bored with what I am saying.,Friends talk to me about their problems as they say that I am very understanding.,"I can sense if I am intruding, even if the other person does not tell me.",I can easily work out what another person might want to talk about.,I can tell if someone is masking their true emotion.,I am good at predicting what someone will do.,"I can usually appreciate the other persons viewpoint, even if I do not agree with it.",I usually stay emotionally detached when watching a film.,I always try to consider the other fellows feelings before I do something.,Before I do something I try to consider how my friends will react to it.,I feel frustrated when I cannot communicate my ideas.,I complete the sentences of other people when they find it difficult to communicate their ideas to help them.,"If someone is suffering from stutter, I prefer speaking rather than texting.",I try to be patient when people speak with me very slowly.,"In a situation, when there are handicapped students in a classroom, the pace of the class should be adapted to the handicapped student.","In a situation, when there are only one handicapped student in a classroom, the pace of the class should be adapted to him/her independently of how many students are in the class.","I feel impatient when people communicate slowly, so I complete other people’s sentences to make the communication more efficient.",I believe that the handicapped students should catch the pace of the group in a classroom to not delay the progress of other students.,I feel left out (or excluded) when I cannot participate in a conversation.,Total Score extended,Total Score original,Elapsed time
11,9111416,02.09.2020 08:50,02.09.2020 08:50,Yes,Proceed,2,3,3,4,3,4,4,3,3,4,3,3,3,4,3,3,2,3,3,3,3,4,4,3,4,3,4,3,2,4,4,2,4,2,4,4,4,1,4,2,128,101,5 minutes 9 seconds
12,9953043,20.10.2020 09:54,20.10.2020 09:54,Yes,Proceed,2,3,3,4,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,4,4,3,4,3,3,3,3,3,2,4,4,3,3,2,3,3,3,3,3,2,124,94,4 minutes 11 seconds
13,9584492,30.09.2020 12:06,30.09.2020 12:06,Yes,Proceed,2,2,3,3,3,3,3,3,2,3,2,3,3,3,2,2,3,3,3,3,2,4,3,3,3,3,2,3,2,3,4,4,3,1,4,4,3,2,2,4,105,86,9 minutes 16 seconds
14,10957346,25.11.2020 15:41,25.11.2020 15:41,Yes,Proceed,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,4,3,3,4,4,4,3,3,4,1,3,3,3,3,1,4,4,4,2,1,4,124,105,3 minutes 24 seconds
15,11847170,14.01.2021 12:18,14.01.2021 12:18,Yes,Proceed,3,2,4,4,4,4,4,3,3,4,3,3,3,3,4,3,3,4,3,4,4,4,4,2,3,3,3,3,2,4,4,4,4,4,4,4,3,2,2,4,122,104,6 minutes 11 seconds
16,10915635,24.11.2020 11:36,24.11.2020 11:36,Yes,Proceed,1,2,3,4,4,3,3,2,3,3,3,4,2,3,3,3,2,3,2,3,3,3,3,2,2,3,2,4,3,3,3,4,4,2,2,4,4,2,3,3,120,87,3 minutes 20 seconds
17,12243055,03.02.2021 12:49,03.02.2021 12:49,Yes,Proceed,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,4,4,2,4,2,3,3,3,2,3,1,4,3,4,3,3,3,4,3,2,1,4,139,99,4 minutes 12 seconds
18,12293559,06.02.2021 12:49,06.02.2021 12:49,Yes,Proceed,2,2,4,4,3,3,3,3,4,4,3,4,4,4,4,3,2,1,3,4,3,4,4,3,3,4,3,3,3,3,3,4,4,2,4,3,3,4,3,3,138,100,4 minutes 37 seconds
19,12285632,05.02.2021 15:04,05.02.2021 15:04,Yes,Proceed,2,3,4,4,4,4,4,2,2,3,3,3,4,4,4,3,4,2,3,4,4,4,4,2,3,3,3,3,4,3,1,4,4,3,4,4,4,4,4,3,137,100,8 minutes 47 seconds
20,12294047,06.02.2021 14:32,06.02.2021 14:32,Yes,Proceed,2,4,4,4,2,4,2,3,3,3,4,3,4,4,3,3,4,4,3,4,4,4,4,4,2,4,2,4,4,4,2,4,1,4,4,3,2,3,4,3,121,105,5 minutes 55 seconds
21,10915649,24.11.2020 11:37,24.11.2020 11:37,Yes,Proceed,1,1,4,3,2,3,4,2,3,3,3,3,4,3,3,3,3,2,2,3,2,3,3,3,3,3,2,3,4,2,3,3,3,3,3,4,4,3,4,3,117,86,5 minutes 20 seconds
22,11850287,14.01.2021 15:12,14.01.2021 15:12,Yes,Proceed,1,2,3,3,2,4,4,2,4,3,4,3,4,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,2,3,3,2,3,2,3,4,3,1,4,3,115,89,5 minutes 16 seconds
23,12361770,10.02.2021 12:34,10.02.2021 12:34,Yes,Proceed,4,3,4,4,4,3,3,2,3,4,4,4,3,2,4,3,3,4,3,4,4,3,4,4,2,3,3,4,3,4,4,4,4,3,4,4,3,3,4,3,128,106,3 minutes 20 seconds
24,12362901,10.02.2021 13:27,10.02.2021 13:27,Yes,Proceed,2,3,3,4,2,3,3,3,2,4,4,4,3,4,3,3,2,3,3,3,3,4,4,3,3,2,3,3,2,3,2,4,3,1,4,4,3,3,4,2,143,93,12 minutes 15 seconds
25,12373919,11.02.2021 10:24,11.02.2021 10:24,Yes,Proceed,4,4,3,3,3,4,4,3,4,4,4,4,3,3,4,3,3,3,2,3,3,3,4,3,3,3,2,2,4,3,2,4,4,3,2,3,3,1,3,4,128,100,10 minutes 23 seconds
26,12445173,17.02.2021 10:49,17.02.2021 10:49,Yes,Proceed,1,3,4,4,3,2,3,3,3,3,3,3,3,4,3,3,3,2,3,3,2,3,2,3,3,3,3,2,3,3,3,3,2,4,3,3,3,3,3,3,121,89,17 minutes 22 seconds
27,12451772,17.02.2021 14:41,17.02.2021 14:41,Yes,Proceed,1,2,4,4,2,4,3,4,4,3,4,4,3,3,3,3,2,2,3,3,2,4,2,2,2,1,2,3,4,3,4,2,3,4,4,3,1,1,3,3,113,90,6 minutes 19 seconds
28,12297957,07.02.2021 11:05,07.02.2021 11:05,Yes,Proceed,2,3,3,3,3,2,4,1,4,3,4,4,3,3,3,4,3,2,2,3,3,4,3,3,2,2,2,2,4,2,3,4,3,4,2,4,2,2,3,4,137,89,1 minute 57 seconds
29,9582664,30.09.2020 10:09,30.09.2020 10:09,Yes,Proceed,2,2,4,3,4,4,3,3,3,3,4,4,4,3,3,4,2,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,3,2,3,3,1,1,1,3,118,107,8 minutes 8 seconds
30,11846698,14.01.2021 11:52,14.01.2021 11:52,Yes,Proceed,2,4,3,4,2,4,3,2,1,2,2,3,3,2,3,3,3,3,3,3,3,4,3,4,4,3,3,4,3,4,3,3,3,2,4,4,4,4,4,3,129,93,16 minutes 28 seconds
31,12593864,23.02.2021 12:30,23.02.2021 12:30,Yes,Proceed,4,2,3,4,3,3,3,2,3,2,2,2,3,2,3,2,2,3,2,2,2,3,1,3,3,1,1,4,2,3,4,2,3,3,4,3,1,4,3,3,121,79,10 minutes 59 seconds
32,12942929,10.03.2021 10:31,10.03.2021 10:31,Yes,Proceed,4,3,3,4,4,4,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,4,4,3,2,3,4,4,3,3,3,3,3,2,4,2,1,4,2,3,113,100,8 minutes 51 seconds
33,12820713,03.03.2021 10:47,03.03.2021 10:47,Yes,Proceed,2,4,2,1,2,2,3,4,4,4,4,3,2,3,3,3,3,3,2,3,3,4,4,3,4,3,3,2,4,3,4,4,4,2,4,3,2,2,4,3,100,94,6 minutes 16 seconds
34,13005915,13.03.2021 13:47,13.03.2021 13:47,Yes,Proceed,3,1,4,4,4,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,4,3,4,3,3,3,3,2,4,4,3,3,1,4,3,3,2,3,3,105,95,10 minutes 25 seconds
35,12910833,08.03.2021 14:28,08.03.2021 14:28,Yes,Proceed,3,3,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,3,4,3,3,4,3,2,4,4,2,4,3,2,2,4,3,104,111,19 minutes 18 seconds
36,13044990,16.03.2021 14:10,16.03.2021 14:10,Yes,Proceed,2,1,4,4,4,4,4,1,1,3,3,2,4,4,4,3,3,4,3,4,4,4,4,4,4,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,136,102,10 minutes 18 seconds
37,12928820,09.03.2021 16:10,09.03.2021 16:10,Yes,Proceed,2,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,3,3,3,3,3,4,3,3,3,3,4,3,4,4,4,4,2,4,4,1,3,4,3,117,108,4 minutes 18 seconds
38,13045072,16.03.2021 14:15,16.03.2021 14:15,Yes,Proceed,2,3,4,3,3,3,2,3,4,4,2,3,4,4,3,2,3,3,2,3,3,4,2,2,3,3,3,4,4,2,4,4,2,2,4,2,4,4,2,3,94,94,5 minutes 33 seconds
39,13046607,16.03.2021 15:32,16.03.2021 15:32,Yes,Proceed,3,3,4,3,2,3,3,2,3,4,2,3,3,4,2,1,2,2,2,3,2,3,3,3,3,2,2,4,4,4,3,4,4,2,4,3,4,2,4,3,139,87,9 minutes 30 seconds
40,13046524,16.03.2021 15:29,16.03.2021 15:29,Yes,Proceed,1,2,3,2,2,4,3,3,3,4,2,4,3,3,4,2,3,3,3,4,3,3,3,2,2,2,2,2,3,4,4,3,2,3,2,4,4,3,3,3,131,88,4 minutes 57 seconds
41,12829954,03.03.2021 16:03,03.03.2021 16:03,Yes,Proceed,3,4,3,3,3,3,2,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,2,4,1,3,3,4,4,3,3,3,2,1,3,2,131,103,14 minutes 53 seconds
42,12360542,10.02.2021 11:48,10.02.2021 11:48,Yes,Proceed,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,4,4,4,3,4,1,4,4,3,2,4,3,123,115,8 minutes 2 seconds
43,13219153,23.03.2021 14:57,23.03.2021 14:57,Yes,Proceed,3,1,4,4,3,3,2,2,2,2,3,2,3,3,4,3,4,3,4,4,3,4,3,4,4,3,3,4,3,4,3,4,4,2,3,4,4,3,4,3,128,97,4 minutes 37 seconds
44,15386353,23.08.2021 11:54,23.08.2021 11:54,Yes,Proceed,1,2,3,4,3,4,3,4,3,3,3,4,3,3,3,4,2,4,3,3,4,4,4,3,4,3,3,2,3,2,3,4,3,1,3,3,2,2,2,4,121,97,6 minutes 55 seconds
45,15441464,26.08.2021 13:44,26.08.2021 13:44,Yes,Proceed,3,2,3,3,2,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,1,4,1,4,3,3,2,3,3,2,2,3,4,3,4,3,2,4,4,3,113,83,5 minutes 57 seconds
46,15383318,23.08.2021 09:31,23.08.2021 09:31,Yes,Proceed,3,3,3,4,4,4,3,4,3,4,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,4,4,3,3,3,4,3,4,1,3,4,4,3,4,2,137,109,5 minutes 13 seconds
47,15803438,13.09.2021 12:54,13.09.2021 12:54,Yes,Proceed,3,4,3,3,3,3,2,2,4,4,3,2,3,2,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,2,2,3,3,3,118,92,12 minutes 47 seconds
48,15386353,23.08.2021 11:54,23.08.2021 11:54,Yes,Proceed,2,2,4,4,3,4,4,3,4,3,4,3,4,4,3,3,1,3,3,4,4,4,4,4,4,3,4,4,1,3,4,3,4,2,4,4,4,1,1,2,129,104,5 minutes 34 seconds
49,15860921,16.09.2021 14:29,16.09.2021 14:29,Yes,Proceed,2,2,3,3,4,4,3,3,2,2,3,3,2,2,3,3,3,3,3,3,4,4,4,4,3,4,3,4,4,4,2,3,3,2,4,4,2,2,3,2,121,96,13 minutes 28 seconds
50,15262563,16.08.2021 15:43,16.08.2021 15:43,Yes,Proceed,3,4,2,4,3,2,4,4,4,3,3,3,4,4,2,2,3,4,1,2,4,2,4,1,2,2,1,2,3,3,4,4,4,2,1,3,1,1,4,4,113,89,1 minute 42 seconds
51,11847274,14.01.2021 12:25,14.01.2021 12:25,Yes,Proceed,1,2,4,1,1,4,1,1,2,3,1,3,3,2,2,3,1,2,3,3,3,3,4,4,3,2,1,3,4,3,2,1,4,2,4,4,2,3,3,2,100,75,7 minutes 59 seconds
52,12593864,23.02.2021 12:30,23.02.2021 12:30,Yes,Proceed,4,2,3,4,3,3,3,2,3,2,2,2,3,2,3,2,2,3,2,2,2,3,1,3,3,1,1,4,2,3,4,2,3,3,4,3,1,4,3,3,105,79,4 minutes 4 seconds
53,15810011,13.09.2021 19:04,13.09.2021 19:04,Yes,Proceed,1,3,3,3,2,3,4,2,3,4,2,2,3,3,3,1,2,2,3,3,2,3,3,3,2,2,2,4,3,2,2,4,3,2,3,3,2,3,2,2,104,80,3 minutes 29 seconds
54,15737984,08.09.2021 08:14,08.09.2021 08:14,Yes,Proceed,3,4,3,4,3,4,3,3,4,4,3,3,3,4,4,4,2,3,4,4,3,4,3,4,3,3,3,3,4,3,4,4,4,4,4,3,2,2,4,3,136,106,3 minutes 45 seconds
55,15962195,20.09.2021 12:21,20.09.2021 12:21,Yes,Proceed,2,1,4,3,3,2,3,2,3,3,3,2,3,3,3,3,2,2,4,4,4,3,3,3,4,4,4,3,3,2,2,4,3,3,4,3,3,2,2,3,117,90,9 minutes 23 seconds
56,15741482,08.09.2021 11:23,08.09.2021 11:23,Yes,Proceed,2,1,3,2,1,1,3,2,4,3,3,3,1,3,2,4,1,3,2,2,1,1,1,3,2,3,1,2,3,3,3,4,3,3,2,3,3,2,3,2,94,69,6 minutes 20 seconds
57,15814375,14.09.2021 09:05,14.09.2021 09:05,Yes,Proceed,4,4,4,4,4,4,2,3,4,4,4,3,3,3,3,3,4,4,3,3,3,4,4,4,3,4,3,4,4,3,3,3,3,1,4,4,4,4,3,4,139,109,11 minutes 51 seconds
58,15745033,08.09.2021 14:01,08.09.2021 14:01,Yes,Proceed,4,3,4,4,4,3,4,3,3,3,4,1,4,2,3,3,4,4,3,4,2,3,3,3,4,3,3,3,3,4,4,4,4,2,4,3,3,2,3,4,131,102,4 minutes 57 seconds
59,16016520,22.09.2021 15:14,22.09.2021 15:14,Yes,Proceed,3,4,4,4,3,3,4,3,2,4,3,3,3,3,3,4,3,4,3,4,4,4,3,3,4,3,3,3,3,3,3,4,3,2,4,4,1,3,4,3,131,103,17 minutes 14 seconds
60,15911739,17.09.2021 14:34,17.09.2021 14:34,Yes,Proceed,3,3,4,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,4,3,3,3,4,4,3,3,3,2,2,3,3,123,96,7 minutes 52 seconds
